Timestamp(ms),X(m/s^2),Y(m/s^2),Z(m/s^2)
2024-08-14 11:01:15.306,0.67,0.39,-9.49
2024-08-14 11:01:15.306,0.67,0.39,-9.45
2024-08-14 11:01:15.306,0.67,0.43,-9.41
2024-08-14 11:01:15.314,0.67,0.43,-9.45
2024-08-14 11:01:15.314,0.67,0.47,-9.41
2024-08-14 11:01:15.314,0.71,0.43,-9.45
2024-08-14 11:01:15.314,0.67,0.43,-9.45
2024-08-14 11:01:15.314,0.71,0.43,-9.45
2024-08-14 11:01:15.314,0.67,0.43,-9.45
2024-08-14 11:01:15.315,0.67,0.43,-9.41
2024-08-14 11:01:15.315,0.63,0.47,-9.41
2024-08-14 11:01:15.315,0.67,0.43,-9.49
2024-08-14 11:01:15.315,0.71,0.43,-9.45
2024-08-14 11:01:15.315,0.71,0.43,-9.49
2024-08-14 11:01:15.320,0.67,0.43,-9.41
2024-08-14 11:01:15.320,0.67,0.43,-9.49
2024-08-14 11:01:15.320,0.63,0.39,-9.41
2024-08-14 11:01:15.320,0.67,0.47,-9.45
2024-08-14 11:01:15.321,0.67,0.39,-9.45
2024-08-14 11:01:15.321,0.71,0.43,-9.41
2024-08-14 11:01:15.321,0.75,0.43,-9.49
2024-08-14 11:01:15.321,0.67,0.39,-9.49
2024-08-14 11:01:15.321,0.67,0.43,-9.45
2024-08-14 11:01:15.321,0.67,0.43,-9.41
2024-08-14 11:01:15.321,0.71,0.43,-9.38
2024-08-14 11:01:15.331,0.63,0.39,-9.41
2024-08-14 11:01:15.331,0.67,0.43,-9.45
2024-08-14 11:01:15.331,0.59,0.47,-9.41
2024-08-14 11:01:15.331,0.67,0.47,-9.45
2024-08-14 11:01:15.332,0.67,0.43,-9.45
2024-08-14 11:01:15.332,0.67,0.43,-9.41
2024-08-14 11:01:15.332,0.63,0.47,-9.41
2024-08-14 11:01:15.332,0.71,0.47,-9.41
2024-08-14 11:01:15.332,0.67,0.43,-9.41
2024-08-14 11:01:15.332,0.71,0.35,-9.45
2024-08-14 11:01:15.332,0.71,0.47,-9.41
2024-08-14 11:01:15.335,0.67,0.39,-9.41
2024-08-14 11:01:15.335,0.63,0.39,-9.41
2024-08-14 11:01:15.335,0.71,0.39,-9.49
2024-08-14 11:01:15.335,0.71,0.39,-9.49
2024-08-14 11:01:15.335,0.67,0.43,-9.41
2024-08-14 11:01:15.335,0.67,0.39,-9.45
2024-08-14 11:01:15.335,0.59,0.47,-9.45
2024-08-14 11:01:15.335,0.67,0.35,-9.45
2024-08-14 11:01:15.335,0.75,0.43,-9.41
2024-08-14 11:01:15.335,0.67,0.43,-9.38
